columna,columna_1,"CUADRO 5 - Nacimientos por persona que atendió el parto según departamento, municipio de ocurrencia y sitio del parto",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,año,tipo,hoja_origen
5.0,5250.0,,05250 El Bagre,Total,20,20,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5250.0,,,Institución de Salud,20,20,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5250.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5250.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5250.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5264.0,,05264 Entrerrios,Total,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5264.0,,,Institución de Salud,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5264.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5264.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5264.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5266.0,,05266 Envigado,Total,243,243,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5266.0,,,Institución de Salud,243,243,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5266.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5266.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5266.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5282.0,,05282 Fredonia,Total,3,3,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5282.0,,,Institución de Salud,3,3,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5282.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5282.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5282.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5284.0,,05284 Frontino,Total,8,5,0,0,0,1,2,0,2023,nacimientos,Cuadro5
5.0,5284.0,,,Institución de Salud,5,5,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5284.0,,,Domicilio,3,0,0,0,0,1,2,0,2023,nacimientos,Cuadro5
5.0,5284.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5284.0,,,Sin información,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5306.0,,05306 Giraldo,Total,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5306.0,,,Institución de Salud,1,1,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5306.0,,,Domicilio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
5.0,5306.0,,,Otro Sitio,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro5
