columna,columna_1,"CUADRO 6A - Nacimientos por peso al nacer, según departamento, municipio y área de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,año,tipo,hoja_origen
5.0,5142.0,,,Cabecera municipal,3,0,0,1,0,0,1,1,0,0,2023,nacimientos,Cuadro6A
5.0,5142.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5142.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5142.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5145.0,,05145 Caramanta,Total,3,0,0,0,0,1,1,0,1,0,2023,nacimientos,Cuadro6A
5.0,5145.0,,,Cabecera municipal,1,0,0,0,0,0,0,0,1,0,2023,nacimientos,Cuadro6A
5.0,5145.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5145.0,,,Rural disperso,2,0,0,0,0,1,1,0,0,0,2023,nacimientos,Cuadro6A
5.0,5145.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5147.0,,05147 Carepa,Total,66,0,0,2,4,19,25,14,2,0,2023,nacimientos,Cuadro6A
5.0,5147.0,,,Cabecera municipal,45,0,0,2,2,15,16,9,1,0,2023,nacimientos,Cuadro6A
5.0,5147.0,,,Centro poblado,4,0,0,0,0,1,2,1,0,0,2023,nacimientos,Cuadro6A
5.0,5147.0,,,Rural disperso,17,0,0,0,2,3,7,4,1,0,2023,nacimientos,Cuadro6A
5.0,5147.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5148.0,,05148 El Carmen de Viboral,Total,52,0,0,0,10,19,15,7,1,0,2023,nacimientos,Cuadro6A
5.0,5148.0,,,Cabecera municipal,30,0,0,0,6,11,11,2,0,0,2023,nacimientos,Cuadro6A
5.0,5148.0,,,Centro poblado,2,0,0,0,0,2,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5148.0,,,Rural disperso,20,0,0,0,4,6,4,5,1,0,2023,nacimientos,Cuadro6A
5.0,5148.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5150.0,,05150 Carolina,Total,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5150.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5150.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5150.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5150.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5154.0,,05154 Caucasia,Total,130,0,1,1,16,42,46,22,2,0,2023,nacimientos,Cuadro6A
5.0,5154.0,,,Cabecera municipal,98,0,1,1,10,33,36,15,2,0,2023,nacimientos,Cuadro6A
5.0,5154.0,,,Centro poblado,16,0,0,0,4,4,3,5,0,0,2023,nacimientos,Cuadro6A
5.0,5154.0,,,Rural disperso,16,0,0,0,2,5,7,2,0,0,2023,nacimientos,Cuadro6A
5.0,5154.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5172.0,,05172 Chigorodó,Total,85,0,1,0,9,25,36,8,6,0,2023,nacimientos,Cuadro6A
5.0,5172.0,,,Cabecera municipal,69,0,0,0,5,22,31,7,4,0,2023,nacimientos,Cuadro6A
5.0,5172.0,,,Centro poblado,5,0,0,0,1,3,1,0,0,0,2023,nacimientos,Cuadro6A
5.0,5172.0,,,Rural disperso,11,0,1,0,3,0,4,1,2,0,2023,nacimientos,Cuadro6A
5.0,5172.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5190.0,,05190 Cisneros,Total,9,0,0,0,2,2,1,4,0,0,2023,nacimientos,Cuadro6A
5.0,5190.0,,,Cabecera municipal,6,0,0,0,0,1,1,4,0,0,2023,nacimientos,Cuadro6A
5.0,5190.0,,,Centro poblado,1,0,0,0,1,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5190.0,,,Rural disperso,2,0,0,0,1,1,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5190.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5197.0,,05197 Cocorná,Total,17,0,0,1,2,3,11,0,0,0,2023,nacimientos,Cuadro6A
5.0,5197.0,,,Cabecera municipal,5,0,0,0,1,0,4,0,0,0,2023,nacimientos,Cuadro6A
5.0,5197.0,,,Centro poblado,2,0,0,0,0,1,1,0,0,0,2023,nacimientos,Cuadro6A
5.0,5197.0,,,Rural disperso,10,0,0,1,1,2,6,0,0,0,2023,nacimientos,Cuadro6A
5.0,5197.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5206.0,,05206 Concepción,Total,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5206.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5206.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5206.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5206.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5209.0,,05209 Concordia,Total,10,0,0,0,1,3,6,0,0,0,2023,nacimientos,Cuadro6A
5.0,5209.0,,,Cabecera municipal,3,0,0,0,1,0,2,0,0,0,2023,nacimientos,Cuadro6A
5.0,5209.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5209.0,,,Rural disperso,7,0,0,0,0,3,4,0,0,0,2023,nacimientos,Cuadro6A
5.0,5209.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5212.0,,05212 Copacabana,Total,25,1,0,0,0,8,13,3,0,0,2023,nacimientos,Cuadro6A
5.0,5212.0,,,Cabecera municipal,20,1,0,0,0,5,12,2,0,0,2023,nacimientos,Cuadro6A
5.0,5212.0,,,Centro poblado,1,0,0,0,0,1,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5212.0,,,Rural disperso,4,0,0,0,0,2,1,1,0,0,2023,nacimientos,Cuadro6A
5.0,5212.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5234.0,,05234 Dabeiba,Total,25,0,1,0,1,6,13,4,0,0,2023,nacimientos,Cuadro6A
5.0,5234.0,,,Cabecera municipal,7,0,1,0,0,1,4,1,0,0,2023,nacimientos,Cuadro6A
5.0,5234.0,,,Centro poblado,1,0,0,0,0,0,1,0,0,0,2023,nacimientos,Cuadro6A
5.0,5234.0,,,Rural disperso,17,0,0,0,1,5,8,3,0,0,2023,nacimientos,Cuadro6A
5.0,5234.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5237.0,,05237 Don Matías,Total,16,0,1,1,1,6,5,2,0,0,2023,nacimientos,Cuadro6A
5.0,5237.0,,,Cabecera municipal,8,0,1,0,0,2,3,2,0,0,2023,nacimientos,Cuadro6A
5.0,5237.0,,,Centro poblado,2,0,0,1,1,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5237.0,,,Rural disperso,6,0,0,0,0,4,2,0,0,0,2023,nacimientos,Cuadro6A
5.0,5237.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5240.0,,05240 Ebéjico,Total,3,0,0,0,0,0,2,0,1,0,2023,nacimientos,Cuadro6A
5.0,5240.0,,,Cabecera municipal,1,0,0,0,0,0,0,0,1,0,2023,nacimientos,Cuadro6A
5.0,5240.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5240.0,,,Rural disperso,2,0,0,0,0,0,2,0,0,0,2023,nacimientos,Cuadro6A
5.0,5240.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2023,nacimientos,Cuadro6A
5.0,5250.0,,05250 El Bagre,Total,113,0,1,1,3,29,55,22,2,0,2023,nacimientos,Cuadro6A
5.0,5250.0,,,Cabecera municipal,54,0,0,0,2,10,28,13,1,0,2023,nacimientos,Cuadro6A
5.0,5250.0,,,Centro poblado,26,0,0,0,1,10,10,4,1,0,2023,nacimientos,Cuadro6A
