columna,"CUADRO 6 - Defunciones por sitio donde ocurrió la defunción, según departamento de ocurrencia y régimen de seguridad social",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,año,tipo,hoja_origen
88.0,,Contributivo,154,114,0,25,1,11,3,0,2022,defunciones,Cuadro6
88.0,,Subsidiado,113,86,0,19,0,6,1,1,2022,defunciones,Cuadro6
88.0,,Excepción,3,3,0,0,0,0,0,0,2022,defunciones,Cuadro6
88.0,,Especial,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro6
88.0,,No asegurado,2,2,0,0,0,0,0,0,2022,defunciones,Cuadro6
88.0,,Sin información,5,1,0,0,0,1,3,0,2022,defunciones,Cuadro6
91.0,91 Amazonas,TOTAL,217,118,11,62,0,10,15,1,2022,defunciones,Cuadro6
91.0,,Contributivo,34,17,2,9,0,1,5,0,2022,defunciones,Cuadro6
91.0,,Subsidiado,164,90,8,48,0,9,8,1,2022,defunciones,Cuadro6
91.0,,Excepción,5,4,0,1,0,0,0,0,2022,defunciones,Cuadro6
91.0,,Especial,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro6
91.0,,No asegurado,7,4,0,3,0,0,0,0,2022,defunciones,Cuadro6
91.0,,Sin información,7,3,1,1,0,0,2,0,2022,defunciones,Cuadro6
94.0,94 Guainía,TOTAL,150,75,6,48,1,3,15,2,2022,defunciones,Cuadro6
94.0,,Contributivo,6,3,0,1,1,0,1,0,2022,defunciones,Cuadro6
94.0,,Subsidiado,98,46,4,39,0,1,8,0,2022,defunciones,Cuadro6
94.0,,Excepción,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro6
94.0,,Especial,1,0,0,1,0,0,0,0,2022,defunciones,Cuadro6
94.0,,No asegurado,39,25,2,7,0,1,3,1,2022,defunciones,Cuadro6
94.0,,Sin información,6,1,0,0,0,1,3,1,2022,defunciones,Cuadro6
95.0,95 Guaviare,TOTAL,278,125,2,80,11,28,30,2,2022,defunciones,Cuadro6
95.0,,Contributivo,37,13,1,11,2,8,2,0,2022,defunciones,Cuadro6
95.0,,Subsidiado,220,104,1,64,8,17,24,2,2022,defunciones,Cuadro6
95.0,,Excepción,5,2,0,3,0,0,0,0,2022,defunciones,Cuadro6
95.0,,Especial,1,1,0,0,0,0,0,0,2022,defunciones,Cuadro6
95.0,,No asegurado,6,5,0,0,1,0,0,0,2022,defunciones,Cuadro6
95.0,,Sin información,9,0,0,2,0,3,4,0,2022,defunciones,Cuadro6
97.0,97 Vaupés,TOTAL,122,36,0,65,0,2,19,0,2022,defunciones,Cuadro6
97.0,,Contributivo,13,5,0,4,0,0,4,0,2022,defunciones,Cuadro6
97.0,,Subsidiado,97,30,0,51,0,2,14,0,2022,defunciones,Cuadro6
97.0,,Excepción,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro6
97.0,,Especial,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro6
97.0,,No asegurado,11,1,0,10,0,0,0,0,2022,defunciones,Cuadro6
97.0,,Sin información,1,0,0,0,0,0,1,0,2022,defunciones,Cuadro6
99.0,99 Vichada,TOTAL,208,104,0,68,3,15,15,3,2022,defunciones,Cuadro6
99.0,,Contributivo,16,7,0,5,1,2,1,0,2022,defunciones,Cuadro6
99.0,,Subsidiado,139,72,0,49,1,9,8,0,2022,defunciones,Cuadro6
99.0,,Excepción,2,1,0,0,0,0,1,0,2022,defunciones,Cuadro6
99.0,,Especial,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro6
99.0,,No asegurado,34,22,0,9,0,1,1,1,2022,defunciones,Cuadro6
99.0,,Sin información,17,2,0,5,1,3,4,2,2022,defunciones,Cuadro6
,Fuente: DANE - Estadísticas Vitales,,,,,,,,,,2022,defunciones,Cuadro6
,Fecha de actualización: 21 de diciembre de 2023,,,,,,,,,,2022,defunciones,Cuadro6
