columna,columna_1,"CUADRO 13 - Nacimientos por nivel educativo de la madre según departamento, municipio de residencia y grupo de edad de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,columna_18,año,tipo,hoja_origen
13.0,13212.0,,,De 40-44 Años,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13212.0,,,De 45-49 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13212.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13212.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13222.0,,13222 Clemencia,Total,93,1,5,18,42,2,0,12,6,3,0,0,0,2,2,2025,nacimientos,Cuadro13
13.0,13222.0,,,De 10-14 Años,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13222.0,,,De 15-19 Años,18,0,0,5,13,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13222.0,,,De 20-24 Años,28,0,1,6,14,0,0,3,2,0,0,0,0,0,2,2025,nacimientos,Cuadro13
13.0,13222.0,,,De 25-29 Años,23,1,1,4,9,1,0,2,3,1,0,0,0,1,0,2025,nacimientos,Cuadro13
13.0,13222.0,,,De 30-34 Años,14,0,0,1,5,1,0,4,0,2,0,0,0,1,0,2025,nacimientos,Cuadro13
13.0,13222.0,,,De 35-39 Años,5,0,0,1,1,0,0,2,1,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13222.0,,,De 40-44 Años,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13222.0,,,De 45-49 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13222.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13222.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13244.0,,13244 El Carmen de Bolívar,Total,418,1,77,94,148,6,0,34,17,33,1,1,0,1,5,2025,nacimientos,Cuadro13
13.0,13244.0,,,De 10-14 Años,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13244.0,,,De 15-19 Años,92,0,17,35,35,2,0,3,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13244.0,,,De 20-24 Años,133,1,21,28,53,1,0,14,8,6,0,0,0,0,1,2025,nacimientos,Cuadro13
13.0,13244.0,,,De 25-29 Años,95,0,15,17,37,2,0,7,2,11,0,0,0,1,3,2025,nacimientos,Cuadro13
13.0,13244.0,,,De 30-34 Años,66,0,19,7,14,1,0,9,3,11,1,1,0,0,0,2025,nacimientos,Cuadro13
13.0,13244.0,,,De 35-39 Años,18,0,4,1,7,0,0,1,3,2,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13244.0,,,De 40-44 Años,6,0,1,0,2,0,0,0,1,1,0,0,0,0,1,2025,nacimientos,Cuadro13
13.0,13244.0,,,De 45-49 Años,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13244.0,,,De 50-54 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13244.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13248.0,,13248 El Guamo,Total,25,0,2,8,8,0,0,3,1,2,0,0,0,1,0,2025,nacimientos,Cuadro13
13.0,13248.0,,,De 10-14 Años,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13248.0,,,De 15-19 Años,5,0,0,1,2,0,0,1,0,0,0,0,0,1,0,2025,nacimientos,Cuadro13
13.0,13248.0,,,De 20-24 Años,6,0,0,2,2,0,0,1,1,0,0,0,0,0,0,2025,nacimientos,Cuadro13
13.0,13248.0,,,De 25-29 Años,8,0,0,3,3,0,0,1,0,1,0,0,0,0,0,2025,nacimientos,Cuadro13
