columna,"CUADRO 11 - Nacimientos por área y sexo, según departamento de residencia de la madre y pertenencia étnico-racial del nacido vivo",columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,columna_16,columna_17,año,tipo,hoja_origen
52.0,,Palenquero de San Basilio,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025,nacimientos,Cuadro11
52.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",1633,833,800,0,448,457,0,67,73,0,318,270,0,0,0,0,2025,nacimientos,Cuadro11
52.0,,Ninguno de las anteriores,4021,1995,2025,1,1196,1185,0,216,258,1,583,582,0,0,0,0,2025,nacimientos,Cuadro11
52.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
54.0,54 Norte de Santander,Total,8271,4312,3958,1,3444,3104,1,172,179,0,696,675,0,0,0,0,2025,nacimientos,Cuadro11
54.0,,Indígena,51,23,28,0,4,4,0,4,4,0,15,20,0,0,0,0,2025,nacimientos,Cuadro11
54.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
54.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
54.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
54.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",12,4,8,0,4,6,0,0,1,0,0,1,0,0,0,0,2025,nacimientos,Cuadro11
54.0,,Ninguno de las anteriores,8208,4285,3922,1,3436,3094,1,168,174,0,681,654,0,0,0,0,2025,nacimientos,Cuadro11
54.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
63.0,63 Quindío,Total,2160,1126,1034,0,1021,932,0,27,31,0,78,71,0,0,0,0,2025,nacimientos,Cuadro11
63.0,,Indígena,22,12,10,0,1,5,0,1,1,0,10,4,0,0,0,0,2025,nacimientos,Cuadro11
63.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
63.0,,Raizal del archipiélago de San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
63.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
63.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",4,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
63.0,,Ninguno de las anteriores,2134,1113,1021,0,1019,924,0,26,30,0,68,67,0,0,0,0,2025,nacimientos,Cuadro11
63.0,,Sin información,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
66.0,66 Risaralda,Total,3907,2009,1898,0,1508,1443,0,97,79,0,404,376,0,0,0,0,2025,nacimientos,Cuadro11
66.0,,Indígena,450,238,212,0,12,9,0,9,8,0,217,195,0,0,0,0,2025,nacimientos,Cuadro11
66.0,,Rom (Gitano),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
66.0,,Raizal del archipiélago de San Andrés y Providencia,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
66.0,,Palenquero de San Basilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,nacimientos,Cuadro11
66.0,,"Negro(a), mulato(a), afrocolombiano(a) o afrodescendiente",66,39,27,0,36,23,0,2,4,0,1,0,0,0,0,0,2025,nacimientos,Cuadro11
