columna,columna_1,"CUADRO 6A - Nacimientos por peso al nacer, según departamento, municipio y área de residencia de la madre",columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,año,tipo,hoja_origen,cuadro
5.0,5142.0,,05142 Caracolí,Total,6,0,0,0,1,3,2,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5142.0,,,Cabecera municipal,5,0,0,0,0,3,2,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5142.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5142.0,,,Rural disperso,1,0,0,0,1,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5142.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5145.0,,05145 Caramanta,Total,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5145.0,,,Cabecera municipal,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5145.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5145.0,,,Rural disperso,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5145.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5147.0,,05147 Carepa,Total,77,0,1,2,9,19,32,12,2,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5147.0,,,Cabecera municipal,55,0,1,2,6,15,19,10,2,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5147.0,,,Centro poblado,8,0,0,0,2,2,3,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5147.0,,,Rural disperso,14,0,0,0,1,2,10,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5147.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5148.0,,05148 El Carmen de Viboral,Total,53,0,0,0,5,21,23,4,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5148.0,,,Cabecera municipal,28,0,0,0,3,9,14,2,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5148.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5148.0,,,Rural disperso,25,0,0,0,2,12,9,2,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5148.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5150.0,,05150 Carolina,Total,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5150.0,,,Cabecera municipal,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5150.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5150.0,,,Rural disperso,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5150.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5154.0,,05154 Caucasia,Total,146,0,0,5,7,43,57,30,4,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5154.0,,,Cabecera municipal,130,0,0,4,7,40,49,26,4,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5154.0,,,Centro poblado,3,0,0,0,0,0,3,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5154.0,,,Rural disperso,13,0,0,1,0,3,5,4,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5154.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5172.0,,05172 Chigorodó,Total,89,1,2,2,4,25,41,11,3,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5172.0,,,Cabecera municipal,78,1,1,2,4,20,37,10,3,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5172.0,,,Centro poblado,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5172.0,,,Rural disperso,10,0,1,0,0,4,4,1,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5172.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5190.0,,05190 Cisneros,Total,6,0,1,0,0,1,2,1,1,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5190.0,,,Cabecera municipal,5,0,1,0,0,0,2,1,1,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5190.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5190.0,,,Rural disperso,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5190.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5197.0,,05197 Cocorná,Total,19,0,0,0,3,6,8,2,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5197.0,,,Cabecera municipal,7,0,0,0,2,3,2,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5197.0,,,Centro poblado,2,0,0,0,1,0,1,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5197.0,,,Rural disperso,10,0,0,0,0,3,5,2,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5197.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5206.0,,05206 Concepción,Total,3,0,0,0,0,2,1,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5206.0,,,Cabecera municipal,1,0,0,0,0,1,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5206.0,,,Centro poblado,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5206.0,,,Rural disperso,2,0,0,0,0,1,1,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5206.0,,,Sin información,0,0,0,0,0,0,0,0,0,0,2022,nacimientos,Cuadro6A,cuadro6a
5.0,5209.0,,05209 Concordia,Total,10,0,0,0,0,3,4,3,0,0,2022,nacimientos,Cuadro6A,cuadro6a
